holding_ticker,etf_ticker,earnings_date
NVDA,VOO,2026-05-27
AAPL,VOO,
MSFT,VOO,
AMZN,VOO,
GOOGL,VOO,
AVGO,VOO,
GOOG,VOO,
META,VOO,
TSLA,VOO,
BRK.B,VOO,2026-05-04
LLY,VOO,
JPM,VOO,
XOM,VOO,
JNJ,VOO,
WMT,VOO,2026-05-14
V,VOO,
MU,VOO,
COST,VOO,2026-05-28
MA,VOO,
ABBV,VOO,
NFLX,VOO,
PG,VOO,
HD,VOO,2026-05-19
GE,VOO,
CVX,VOO,2026-05-01
NVDA,QQQ,2026-05-27
AAPL,QQQ,
MSFT,QQQ,
AMZN,QQQ,
TSLA,QQQ,
GOOGL,QQQ,
WMT,QQQ,2026-05-14
META,QQQ,
GOOG,QQQ,
AVGO,QQQ,
COST,QQQ,2026-05-28
MU,QQQ,
NFLX,QQQ,
AMD,QQQ,2026-05-05
PLTR,QQQ,2026-05-04
CSCO,QQQ,2026-05-13
AMAT,QQQ,2026-05-14
LRCX,QQQ,
INTC,QQQ,
LIN,QQQ,2026-05-01
TMUS,QQQ,
PEP,QQQ,
KLAC,QQQ,
AMGN,QQQ,
TXN,QQQ,
TSLA,ARKQ,
TER,ARKQ,
KTOS,ARKQ,2026-05-06
AMD,ARKQ,2026-05-05
RKLB,ARKQ,2026-05-07
DE,ARKQ,2026-05-14
PLTR,ARKQ,2026-05-04
GOOG,ARKQ,
LHX,ARKQ,
AVAV,ARKQ,
ACHR,ARKQ,2026-05-11
TSM,ARKQ,
AMZN,ARKQ,
TRMB,ARKQ,2026-05-06
LUNR,ARKQ,2026-05-12
NVDA,ARKQ,2026-05-27
CAT,ARKQ,
BWXT,ARKQ,2026-05-04
TLV: ESLT,ARKQ,
CCJ,ARKQ,
KMTUY,ARKQ,
SYM,ARKQ,2026-05-06
BIDU,ARKQ,2026-05-20
JOBY,ARKQ,2026-05-06
IRDM,ARKQ,
SWX: ABBN,BOTZ,
NVDA,BOTZ,2026-05-27
TYO: 6861,BOTZ,
ISRG,BOTZ,
TYO: 6954,BOTZ,
SHE: 300124,BOTZ,
TYO: 6273,BOTZ,
TYO: 6383,BOTZ,
HKG: 9660,BOTZ,
AVAV,BOTZ,
SHE: 300757,BOTZ,
GOOGL,BOTZ,
HKG: 1810,BOTZ,
BIDU,BOTZ,2026-05-20
CGNX,BOTZ,
XPEV,BOTZ,2026-05-20
TSLA,BOTZ,
TYO: 6506,BOTZ,
KOSDAQ: 277810,BOTZ,
AUR,BOTZ,2026-05-07
SYM,BOTZ,2026-05-06
JBTM,BOTZ,2026-05-04
TYO: 6645,BOTZ,
HKG: 9880,BOTZ,
PATH,BOTZ,2026-05-28
