holding_ticker,etf_ticker,earnings_date
NVDA,VOO,2026-05-27
AAPL,VOO,
MSFT,VOO,
AMZN,VOO,
GOOGL,VOO,
AVGO,VOO,
GOOG,VOO,
META,VOO,
TSLA,VOO,
BRK.B,VOO,2026-05-04
LLY,VOO,
JPM,VOO,
XOM,VOO,
JNJ,VOO,
WMT,VOO,2026-05-14
V,VOO,
MU,VOO,
COST,VOO,2026-05-28
MA,VOO,
ABBV,VOO,
NFLX,VOO,
PG,VOO,
HD,VOO,2026-05-19
GE,VOO,
CVX,VOO,2026-05-01
NVDA,QQQ,2026-05-27
AAPL,QQQ,
MSFT,QQQ,
AMZN,QQQ,
GOOGL,QQQ,
META,QQQ,
WMT,QQQ,2026-05-14
TSLA,QQQ,
GOOG,QQQ,
AVGO,QQQ,
MU,QQQ,
COST,QQQ,2026-05-28
NFLX,QQQ,
AMD,QQQ,2026-05-05
CSCO,QQQ,2026-05-13
LRCX,QQQ,
AMAT,QQQ,2026-05-14
INTC,QQQ,
PLTR,QQQ,2026-05-04
LIN,QQQ,2026-05-01
KLAC,QQQ,
TMUS,QQQ,
PEP,QQQ,
TXN,QQQ,
AMGN,QQQ,
TSLA,ARKQ,
TER,ARKQ,
KTOS,ARKQ,2026-05-06
AMD,ARKQ,2026-05-05
RKLB,ARKQ,2026-05-07
DE,ARKQ,2026-05-14
PLTR,ARKQ,2026-05-04
GOOG,ARKQ,
LHX,ARKQ,
AVAV,ARKQ,
TSM,ARKQ,
ACHR,ARKQ,2026-05-11
AMZN,ARKQ,
TRMB,ARKQ,2026-05-06
CAT,ARKQ,
LUNR,ARKQ,2026-05-12
NVDA,ARKQ,2026-05-27
BWXT,ARKQ,2026-05-04
KMTUY,ARKQ,
CCJ,ARKQ,
TLV: ESLT,ARKQ,
SYM,ARKQ,2026-05-06
BIDU,ARKQ,2026-05-20
IRDM,ARKQ,
JOBY,ARKQ,2026-05-06
SWX: ABBN,BOTZ,
NVDA,BOTZ,2026-05-27
TYO: 6861,BOTZ,
TYO: 6954,BOTZ,
ISRG,BOTZ,
TYO: 6273,BOTZ,
SHE: 300124,BOTZ,
TYO: 6383,BOTZ,
HKG: 9660,BOTZ,
SHE: 300757,BOTZ,
GOOGL,BOTZ,
CGNX,BOTZ,
AVAV,BOTZ,
HKG: 1810,BOTZ,
BIDU,BOTZ,2026-05-20
XPEV,BOTZ,2026-05-20
TYO: 6506,BOTZ,
TSLA,BOTZ,
KOSDAQ: 277810,BOTZ,
SYM,BOTZ,2026-05-06
JBTM,BOTZ,2026-05-04
AUR,BOTZ,2026-05-07
TYO: 6645,BOTZ,
HKG: 9880,BOTZ,
PATH,BOTZ,2026-05-28
