ticker,expiration,contractType,strike,bid,ask,volume,openInterest,impliedVolatility,spot_price,moneyness
ARKQ,2026-04-17,call,110.0,9.3,11.5,12.0,18.0,0.6337927246093751,120.15499877929688,0.9155
ARKQ,2026-04-17,call,116.0,4.1,5.8,8.0,10.0,0.4255428540039063,120.15499877929688,0.9654
ARKQ,2026-04-17,call,118.0,2.85,4.5,1.0,18.0,0.4211483666992188,120.15499877929688,0.9821
ARKQ,2026-04-17,call,120.0,1.75,3.1,4.0,27.0,0.3811097045898437,120.15499877929688,0.9987
ARKQ,2026-04-17,call,125.0,0.25,1.35,1.0,23.0,0.3962462719726562,120.15499877929688,1.0403
ARKQ,2026-04-17,call,127.0,0.0,0.95,1.0,10.0,0.4050352465820312,120.15499877929688,1.057
ARKQ,2026-04-17,call,130.0,0.0,0.5,1.0,16.0,0.4062559375,120.15499877929688,1.0819
ARKQ,2026-04-17,put,110.0,0.0,0.65,5.0,32.0,0.4892629199218751,120.15499877929688,0.9155
ARKQ,2026-04-17,put,115.0,0.35,1.2,2.0,12.0,0.4025938647460937,120.15499877929688,0.9571
ARKQ,2026-05-15,call,130.0,0.85,1.65,1.0,31.0,0.3195868823242186,120.15499877929688,1.0819
ARKQ,2026-05-15,put,105.0,0.2,1.55,1.0,29.0,0.4499566723632812,120.15499877929688,0.8739
ARKQ,2026-05-15,put,115.0,2.4,4.0,35.0,10.0,0.4128476684570312,120.15499877929688,0.9571
ARKQ,2026-06-18,call,100.0,20.2,22.6,2.0,23.0,0.4749808361816406,120.15499877929688,0.8323
ARKQ,2026-06-18,call,105.0,18.8,21.7,2.0,29.0,0.5566450585937501,120.15499877929688,0.8739
ARKQ,2026-06-18,call,110.0,12.4,14.8,4.0,27.0,0.4327449304199219,120.15499877929688,0.9155
ARKQ,2026-06-18,call,117.0,14.3,17.0,12.0,19.0,0.6695589685058594,120.15499877929688,0.9737
ARKQ,2026-06-18,call,120.0,6.5,7.7,2.0,20.0,0.3585879571533203,120.15499877929688,0.9987
ARKQ,2026-06-18,call,122.0,5.3,7.3,3.0,22.0,0.3821472918701171,120.15499877929688,1.0154
ARKQ,2026-06-18,call,123.0,4.1,6.2,1.0,41.0,0.3502262243652343,120.15499877929688,1.0237
